date,Alexis Arguello,Antonio Cervantes,Davey Moore,Julio Cesar Chavez,Larry Holmes,Marvin Hagler,Michael Spinks,Muhammad Ali,Roberto Duran,Sugar Ray Leonard,Thomas Hearns
1976-08-03,1972.04127681,2048.13384687,2070.99799421,,1752.59718528,1731.56233059,,2300.81392158,2082.48155256,,
1976-09-14,1972.04127681,2048.13384687,2070.99799421,,1752.59718528,1776.47870681,,2300.81392158,2082.48155256,,
1976-09-28,1972.04127681,2048.13384687,2070.99799421,,1752.59718528,1776.47870681,,2308.54745153,2082.48155256,,
1976-10-15,1972.04127681,2048.13384687,2070.99799421,,1752.59718528,1776.47870681,,2308.54745153,2083.32542207,,
1976-10-16,1972.04127681,2051.15328883,2070.99799421,,1752.59718528,1776.47870681,,2308.54745153,2083.32542207,,
1976-11-13,1972.04127681,2054.73566262,2070.99799421,,1752.59718528,1776.47870681,,2308.54745153,2083.32542207,,
1976-12-21,1972.04127681,2054.73566262,2070.99799421,,1752.59718528,1780.20172267,,2308.54745153,2083.32542207,,
1977-01-16,1972.04127681,2054.73566262,2070.99799421,,1774.8973573,1780.20172267,,2308.54745153,2083.32542207,,
1977-01-29,1972.04127681,2054.73566262,2070.99799421,,1774.8973573,1780.20172267,,2308.54745153,2087.60398512,,
1977-02-05,1972.04127681,2054.73566262,2070.99799421,,1774.8973573,1780.20172267,,2308.54745153,2087.60398512,1229.56700751,
1977-02-15,1972.04127681,2054.73566262,2070.99799421,,1774.8973573,1826.28911964,,2308.54745153,2087.60398512,1229.56700751,
1977-02-19,1987.17472699,2054.73566262,2070.99799421,,1774.8973573,1826.28911964,,2308.54745153,2087.60398512,1229.56700751,
1977-03-16,1987.17472699,2054.73566262,2070.99799421,,1774.8973573,1839.3057047,,2308.54745153,2087.60398512,1229.56700751,
1977-03-17,1987.17472699,2054.73566262,2070.99799421,,1781.61418468,1839.3057047,,2308.54745153,2087.60398512,1229.56700751,
1977-03-19,1987.17472699,2058.62083385,2070.99799421,,1781.61418468,1839.3057047,,2308.54745153,2087.60398512,1229.56700751,
1977-04-16,1987.17472699,2058.62083385,2070.99799421,,1781.61418468,1839.3057047,1253.59080832,2308.54745153,2087.60398512,1229.56700751,
1977-05-07,1987.17472699,2058.62083385,2070.99799421,,1781.61418468,1839.3057047,1331.10458973,2308.54745153,2087.60398512,1229.56700751,
1977-05-14,1995.68936462,2058.62083385,2070.99799421,,1781.61418468,1839.3057047,1331.10458973,2308.54745153,2087.60398512,1306.76553891,
1977-05-16,1995.68936462,2058.62083385,2070.99799421,,1781.61418468,1839.3057047,1331.10458973,2309.85278893,2088.98541446,1306.76553891,
1977-06-01,1995.68936462,2058.62083385,2070.99799421,,1781.61418468,1839.3057047,1395.39882468,2309.85278893,2088.98541446,1306.76553891,
1977-06-10,1995.68936462,2058.62083385,2070.99799421,,1781.61418468,1852.40573235,1395.39882468,2309.85278893,2088.98541446,1372.58104054,
1977-06-22,2008.73103213,2058.62083385,2070.99799421,,1781.61418468,1852.40573235,1395.39882468,2309.85278893,2088.98541446,1372.58104054,
1977-06-25,2008.73103213,2076.44083252,2070.99799421,,1781.61418468,1852.40573235,1395.39882468,2309.85278893,2088.98541446,1372.58104054,
1977-08-03,2013.82601156,2076.44083252,2070.99799421,,1781.61418468,1852.40573235,1395.39882468,2309.85278893,2088.98541446,1372.58104054,
1977-08-06,2013.82601156,2076.44083252,2070.99799421,,1781.61418468,1852.40573235,1395.39882468,2309.85278893,2089.23179193,1372.58104054,
1977-08-23,2013.82601156,2076.44083252,2070.99799421,,1781.61418468,1886.18781676,1443.7101657,2309.85278893,2089.23179193,1372.58104054,
1977-08-27,2016.59660159,2076.44083252,2070.99799421,,1781.61418468,1886.18781676,1443.7101657,2309.85278893,2089.23179193,1372.58104054,
1977-09-13,2016.59660159,2076.44083252,2070.99799421,,1781.61418468,1886.18781676,1510.54943827,2309.85278893,2089.23179193,1372.58104054,
1977-09-14,2016.59660159,2076.44083252,2070.99799421,,1796.96148674,1886.18781676,1510.54943827,2309.85278893,2089.23179193,1372.58104054,
1977-09-17,2016.59660159,2076.44083252,2070.99799421,,1796.96148674,1886.18781676,1510.54943827,2309.85278893,2093.27125734,1372.58104054,
1977-09-23,2016.59660159,2076.44083252,2070.99799421,,1796.96148674,1886.18781676,1510.54943827,2309.85278893,2043.5554003,1372.58104054,
1977-09-24,2016.59660159,2076.44083252,2070.99799421,,1796.96148674,1895.9772235,1510.54943827,2309.85278893,2043.5554003,1449.35438933,
