date,Evander Holyfield,Felix Trinidad,Julio Cesar Chavez,Lennox Lewis,Mike Tyson,Oscar De La Hoya,Pernell Whitaker,Roy Jones Jr.,Sugar Ray Leonard,Thomas Hearns,Virgil Hill
1986-03-22,1628.33770391,,1910.73356474,,1707.57547532,,1576.44759539,,2120.12031891,2099.62137178,1433.66722155
1986-04-06,1650.29465055,,1910.73356474,,1707.57547532,,1576.44759539,,2120.12031891,2099.62137178,1433.66722155
1986-04-30,1650.29465055,,1910.73356474,,1707.57547532,,1576.44759539,,2120.12031891,2099.62137178,1469.67390743
1986-05-03,1650.29465055,,1910.73356474,,1731.57523938,,1576.44759539,,2120.12031891,2099.62137178,1469.67390743
1986-05-15,1650.29465055,,1929.86975197,,1731.57523938,,1576.44759539,,2120.12031891,2099.62137178,1469.67390743
1986-05-20,1650.29465055,,1929.86975197,,1754.96503228,,1576.44759539,,2120.12031891,2099.62137178,1469.67390743
1986-05-28,1661.78187596,,1929.86975197,,1754.96503228,,1576.44759539,,2120.12031891,2099.62137178,1469.67390743
1986-06-13,1661.78187596,,1949.17839365,,1770.94423895,,1576.44759539,,2120.12031891,2099.62137178,1469.67390743
1986-06-23,1661.78187596,,1949.17839365,,1770.94423895,,1576.44759539,,2120.12031891,2105.14654872,1469.67390743
1986-06-28,1661.78187596,,1949.17839365,,1778.23771311,,1576.44759539,,2120.12031891,2105.14654872,1469.67390743
1986-06-30,1661.78187596,,1949.17839365,,1778.23771311,,1576.44759539,,2120.12031891,2105.14654872,1519.65808692
1986-07-10,1661.78187596,,1949.17839365,,1778.23771311,,1576.44759539,,2120.12031891,2105.14654872,1562.01792348
1986-07-11,1661.78187596,,1949.17839365,,1786.00813049,,1576.44759539,,2120.12031891,2105.14654872,1562.01792348
1986-07-12,1725.61741505,,1949.17839365,,1786.00813049,,1576.44759539,,2120.12031891,2105.14654872,1562.01792348
1986-07-26,1725.61741505,,1949.17839365,,1823.90100408,,1576.44759539,,2120.12031891,2105.14654872,1562.01792348
1986-08-02,1725.61741505,,1949.17839365,,1823.90100408,,1576.44759539,,2120.12031891,2105.14654872,1571.33698502
1986-08-03,1725.61741505,,1977.77534173,,1823.90100408,,1576.44759539,,2120.12031891,2105.14654872,1571.33698502
1986-08-14,1725.61741505,,1977.77534173,,1823.90100408,,1576.44759539,,2120.12031891,2105.14654872,1573.3773259
1986-08-16,1725.61741505,,1977.77534173,,1823.90100408,,1619.34177987,,2120.12031891,2105.14654872,1573.3773259
1986-08-17,1725.61741505,,1977.77534173,,1841.32312631,,1619.34177987,,2120.12031891,2105.14654872,1573.3773259
1986-09-06,1725.61741505,,1977.77534173,,1857.14329948,,1619.34177987,,2120.12031891,2105.14654872,1573.3773259
1986-10-04,1725.61741505,,1977.77534173,,1857.14329948,,1619.34177987,,2120.12031891,2105.14654872,1615.49142922
1986-10-09,1725.61741505,,1977.77534173,,1857.14329948,,1633.60224878,,2120.12031891,2105.14654872,1615.49142922
1986-10-17,1725.61741505,,1977.77534173,,1857.14329948,,1633.60224878,,2120.12031891,2109.97488072,1629.89997977
1986-11-22,1725.61741505,,1977.77534173,,1898.57452328,,1633.60224878,,2120.12031891,2109.97488072,1629.89997977
1986-12-08,1743.74474101,,1977.77534173,,1898.57452328,,1633.60224878,,2120.12031891,2109.97488072,1629.89997977
1986-12-11,1743.74474101,,1977.77534173,,1898.57452328,,1633.60224878,,2120.12031891,2109.97488072,1652.60682884
1986-12-12,1743.74474101,,1993.02134484,,1898.57452328,,1633.60224878,,2120.12031891,2109.97488072,1652.60682884
1986-12-20,1743.74474101,,1993.02134484,,1898.57452328,,1665.63997424,,2120.12031891,2109.97488072,1652.60682884
1987-02-14,1771.14829325,,1993.02134484,,1898.57452328,,1665.63997424,,2120.12031891,2109.97488072,1652.60682884
1987-03-06,1771.14829325,,1993.02134484,,1898.57452328,,1665.63997424,,2120.12031891,2109.97488072,1659.01688704
1987-03-07,1771.14829325,,1993.02134484,,1917.77791072,,1665.63997424,,2120.12031891,2120.80554753,1659.01688704
1987-03-28,1771.14829325,,1993.02134484,,1917.77791072,,1720.54225,,2120.12031891,2120.80554753,1659.01688704
1987-04-06,1771.14829325,,1993.02134484,,1917.77791072,,1720.54225,,2152.38965809,2120.80554753,1659.01688704
1987-04-18,1771.14829325,,2009.72763528,,1917.77791072,,1720.54225,,2152.38965809,2120.80554753,1659.01688704
1987-05-01,1771.14829325,,2009.72763528,,1917.77791072,,1720.54225,,2152.38965809,2120.80554753,1700.13555215
1987-05-15,1804.16065855,,2009.72763528,,1917.77791072,,1720.54225,,2152.38965809,2120.80554753,1700.13555215
1987-05-30,1804.16065855,,2009.72763528,,1946.48187713,,1720.54225,,2152.38965809,2120.80554753,1700.13555215
1987-06-13,1804.16065855,,2009.72763528,,1946.48187713,,1720.54225,,2152.38965809,2120.80554753,1729.95025078
1987-06-28,1804.16065855,,2009.72763528,,1946.48187713,,1723.77498696,,2152.38965809,2120.80554753,1729.95025078
1987-07-19,1804.16065855,,2009.72763528,,1946.48187713,,1723.77498696,,2152.38965809,2120.80554753,1751.65050397
1987-07-25,1804.16065855,,2009.72763528,,1946.48187713,,1755.3470163,,2152.38965809,2120.80554753,1751.65050397
1987-08-01,1804.16065855,,2009.72763528,,1971.43548685,,1755.3470163,,2152.38965809,2120.80554753,1751.65050397
1987-08-15,1841.973353,,2009.72763528,,1971.43548685,,1755.3470163,,2152.38965809,2120.80554753,1751.65050397
1987-08-21,1841.973353,,2013.16727155,,1971.43548685,,1755.3470163,,2152.38965809,2120.80554753,1751.65050397
1987-09-05,1841.973353,,2013.16727155,,1971.43548685,,1755.3470163,,2152.38965809,2120.80554753,1804.07362049
1987-10-16,1841.973353,,2013.16727155,,1987.61341737,,1755.3470163,,2152.38965809,2120.80554753,1804.07362049
1987-10-29,1841.973353,,2013.16727155,,1987.61341737,,1755.3470163,,2152.38965809,2141.13053862,1804.07362049
1987-11-21,1841.973353,,2030.68505639,,1987.61341737,,1755.3470163,,2152.38965809,2141.13053862,1828.55439317
1987-12-05,1883.18120457,,2030.68505639,,1987.61341737,,1755.3470163,,2152.38965809,2141.13053862,1828.55439317
1987-12-19,1883.18120457,,2030.68505639,,1987.61341737,,1763.09780809,,2152.38965809,2141.13053862,1828.55439317
1988-01-22,1883.18120457,,2030.68505639,,2034.78599423,,1763.09780809,,2152.38965809,2141.13053862,1828.55439317
1988-03-05,1883.18120457,,2033.35981774,,2034.78599423,,1763.09780809,,2152.38965809,2141.13053862,1828.55439317
1988-03-12,1883.18120457,,2033.35981774,,2034.78599423,,1744.73775166,,2152.38965809,2141.13053862,1828.55439317
1988-03-21,1883.18120457,,2033.35981774,,2044.61338476,,1744.73775166,,2152.38965809,2141.13053862,1828.55439317
1988-04-03,1883.18120457,,2033.35981774,,2044.61338476,,1744.73775166,,2152.38965809,2141.13053862,1848.47394072
1988-04-09,1923.70088891,,2033.35981774,,2044.61338476,,1744.73775166,,2152.38965809,2141.13053862,1848.47394072
1988-04-16,1923.70088891,,2040.26194087,,2044.61338476,,1744.73775166,,2152.38965809,2141.13053862,1848.47394072
1988-06-04,1923.70088891,,2047.54527849,,2044.61338476,,1744.73775166,,2152.38965809,2141.13053862,1848.47394072
1988-06-06,1923.70088891,,2047.54527849,,2044.61338476,,1744.73775166,,2152.38965809,2099.10650097,1867.94784731
1988-06-27,1923.70088891,,2047.54527849,,2073.57693933,,1744.73775166,,2152.38965809,2099.10650097,1867.94784731
1988-07-16,1931.71387805,,2047.54527849,,2073.57693933,,1744.73775166,,2152.38965809,2099.10650097,1867.94784731
1988-08-01,1931.71387805,,2052.69365876,,2073.57693933,,1744.73775166,,2152.38965809,2099.10650097,1867.94784731
1988-10-29,1931.71387805,,2072.3424354,,2073.57693933,,1744.73775166,,2152.38965809,2099.10650097,1867.94784731
1988-11-02,1931.71387805,,2072.3424354,,2073.57693933,,1746.92765285,,2152.38965809,2099.10650097,1867.94784731
1988-11-04,1931.71387805,,2072.3424354,,2073.57693933,,1746.92765285,,2152.38965809,2106.02597126,1867.94784731
1988-11-07,1931.71387805,,2072.3424354,,2073.57693933,,1746.92765285,,2160.41327857,2106.02597126,1867.94784731
1988-11-11,1931.71387805,,2072.3424354,,2073.57693933,,1746.92765285,,2160.41327857,2106.02597126,1882.0684114
1988-12-09,1956.21097563,,2072.3424354,,2073.57693933,,1746.92765285,,2160.41327857,2106.02597126,1882.0684114
1989-02-18,1956.21097563,,2072.3424354,,2073.57693933,,1795.85417249,,2160.41327857,2106.02597126,1882.0684114
1989-02-25,1956.21097563,,2072.3424354,,2087.82021668,,1795.85417249,,2160.41327857,2106.02597126,1882.0684114
1989-03-04,1956.21097563,,2072.3424354,,2087.82021668,,1795.85417249,,2160.41327857,2106.02597126,1919.60641325
1989-03-11,1991.83058287,,2072.3424354,,2087.82021668,,1795.85417249,,2160.41327857,2106.02597126,1919.60641325
1989-04-30,1991.83058287,,2072.3424354,,2087.82021668,,1825.20744606,,2160.41327857,2106.02597126,1919.60641325
1989-05-06,1991.83058287,,2072.3424354,,2087.82021668,,1825.20744606,1238.78636166,2160.41327857,2106.02597126,1919.60641325
1989-05-13,1991.83058287,,2089.93458584,,2087.82021668,,1825.20744606,1238.78636166,2160.41327857,2106.02597126,1919.60641325
1989-05-27,1991.83058287,,2089.93458584,,2087.82021668,,1825.20744606,1238.78636166,2160.41327857,2106.02597126,1939.06139034
1989-06-11,1991.83058287,,2089.93458584,,2087.82021668,,1825.20744606,1303.79433567,2160.41327857,2106.02597126,1939.06139034
1989-06-12,1991.83058287,,2089.93458584,,2087.82021668,,1825.20744606,1303.79433567,2156.53145299,2109.90779683,1939.06139034
1989-06-27,1991.83058287,,2089.93458584,1266.39690618,2087.82021668,,1825.20744606,1303.79433567,2156.53145299,2109.90779683,1939.06139034
1989-07-15,2015.35329107,,2089.93458584,1266.39690618,2087.82021668,,1825.20744606,1303.79433567,2156.53145299,2109.90779683,1939.06139034
1989-07-21,2015.35329107,,2089.93458584,1312.44089702,2089.40737077,,1825.20744606,1303.79433567,2156.53145299,2109.90779683,1939.06139034
1989-07-30,2015.35329107,,2092.8576581,1312.44089702,2089.40737077,,1825.20744606,1303.79433567,2156.53145299,2109.90779683,1939.06139034
1989-08-20,2015.35329107,,2092.8576581,1312.44089702,2089.40737077,,1875.45622098,1303.79433567,2156.53145299,2109.90779683,1939.06139034
1989-09-03,2015.35329107,,2092.8576581,1312.44089702,2089.40737077,,1875.45622098,1388.56023146,2156.53145299,2109.90779683,1939.06139034
1989-09-25,2015.35329107,,2092.8576581,1333.17009415,2089.40737077,,1875.45622098,1388.56023146,2156.53145299,2109.90779683,1939.06139034
1989-10-09,2015.35329107,,2094.18931679,1333.17009415,2089.40737077,,1875.45622098,1388.56023146,2156.53145299,2109.90779683,1939.06139034
1989-10-10,2015.35329107,,2094.18931679,1373.35716434,2089.40737077,,1875.45622098,1388.56023146,2156.53145299,2109.90779683,1939.06139034
1989-10-24,2015.35329107,,2094.18931679,1373.35716434,2089.40737077,,1875.45622098,1388.56023146,2156.53145299,2109.90779683,1958.21768064
1989-10-27,2015.35329107,,2094.47837062,1373.35716434,2089.40737077,,1875.45622098,1388.56023146,2156.53145299,2109.90779683,1958.21768064
1989-11-04,2023.03014358,,2094.47837062,1373.35716434,2089.40737077,,1875.45622098,1388.56023146,2156.53145299,2109.90779683,1958.21768064
1989-11-05,2023.03014358,,2094.47837062,1427.67495485,2089.40737077,,1875.45622098,1388.56023146,2156.53145299,2109.90779683,1958.21768064
