date,Bernard Hopkins,Felix Trinidad,Floyd Mayweather Jr,Joe Calzaghe,Kostya Tszyu,Lennox Lewis,Manny Pacquiao,Oscar De La Hoya,Ricky Hatton,Roy Jones Jr.,Wladimir Klitschko
1998-09-18,1943.19341532,2050.7189358,1749.04965543,1880.43631207,1960.18327315,2075.56911166,1708.54610025,2166.4440809,1412.13262101,2092.53133958,1743.04065574
1998-09-19,1943.19341532,2050.7189358,1749.04965543,1880.43631207,1960.18327315,2075.56911166,1708.54610025,2166.4440809,1424.78532663,2092.53133958,1761.1892794
1998-09-26,1943.19341532,2050.7189358,1749.04965543,1880.43631207,1960.18327315,2085.71942856,1708.54610025,2166.4440809,1424.78532663,2092.53133958,1761.1892794
1998-10-03,1943.19341532,2050.7189358,1810.77699483,1880.43631207,1960.18327315,2085.71942856,1708.54610025,2166.4440809,1424.78532663,2092.53133958,1774.77478547
1998-10-31,1943.19341532,2050.7189358,1810.77699483,1880.43631207,1960.18327315,2085.71942856,1708.54610025,2166.4440809,1436.20044215,2092.53133958,1774.77478547
1998-11-14,1943.19341532,2050.7189358,1810.77699483,1880.43631207,1960.18327315,2085.71942856,1708.54610025,2166.4440809,1436.20044215,2105.80889135,1782.45967413
1998-11-28,1943.19341532,2050.7189358,1810.77699483,1880.43631207,1982.87668462,2085.71942856,1708.54610025,2166.4440809,1436.20044215,2105.80889135,1782.45967413
1998-12-04,1943.19341532,2050.7189358,1810.77699483,1880.43631207,1982.87668462,2085.71942856,1764.84933106,2166.4440809,1436.20044215,2105.80889135,1782.45967413
1998-12-05,1943.19341532,2050.7189358,1810.77699483,1880.43631207,1982.87668462,2085.71942856,1764.84933106,2166.4440809,1436.20044215,2105.80889135,1729.34499414
1998-12-19,1943.19341532,2050.7189358,1853.4384789,1880.43631207,1982.87668462,2085.71942856,1764.84933106,2166.4440809,1468.63028697,2105.80889135,1729.34499414
1999-01-09,1943.19341532,2050.7189358,1853.4384789,1880.43631207,1982.87668462,2085.71942856,1764.84933106,2166.4440809,1468.63028697,2109.1348064,1729.34499414
1999-02-06,1961.5087575,2050.7189358,1853.4384789,1880.43631207,1982.87668462,2085.71942856,1764.84933106,2166.4440809,1468.63028697,2109.1348064,1729.34499414
1999-02-13,1961.5087575,2050.7189358,1853.4384789,1916.68921476,1982.87668462,2085.71942856,1764.84933106,2180.73676892,1468.63028697,2109.1348064,1745.6260678
1999-02-17,1961.5087575,2050.7189358,1893.80786092,1916.68921476,1982.87668462,2085.71942856,1764.84933106,2180.73676892,1468.63028697,2109.1348064,1745.6260678
1999-02-20,1961.5087575,2080.0625879,1893.80786092,1916.68921476,1982.87668462,2085.71942856,1769.62438372,2180.73676892,1468.63028697,2109.1348064,1745.6260678
1999-02-27,1961.5087575,2080.0625879,1893.80786092,1916.68921476,1982.87668462,2085.71942856,1769.62438372,2180.73676892,1517.7534186,2109.1348064,1745.6260678
1999-03-13,1961.5087575,2080.0625879,1893.80786092,1916.68921476,1982.87668462,2088.78806249,1769.62438372,2180.73676892,1517.7534186,2109.1348064,1745.6260678
1999-04-03,1961.5087575,2080.0625879,1893.80786092,1916.68921476,1982.87668462,2088.78806249,1769.62438372,2180.73676892,1523.99398992,2109.1348064,1745.6260678
1999-04-24,1961.5087575,2080.0625879,1893.80786092,1916.68921476,1982.87668462,2088.78806249,1788.35207972,2180.73676892,1523.99398992,2109.1348064,1750.9478931
1999-05-22,1961.5087575,2080.0625879,1919.16730089,1916.68921476,1982.87668462,2088.78806249,1788.35207972,2191.00031055,1523.99398992,2109.1348064,1765.82151604
1999-05-29,1961.5087575,2088.84321984,1919.16730089,1916.68921476,1982.87668462,2088.78806249,1788.35207972,2191.00031055,1551.59102354,2109.1348064,1765.82151604
1999-06-05,1961.5087575,2088.84321984,1919.16730089,1929.97328531,1982.87668462,2088.78806249,1788.35207972,2191.00031055,1551.59102354,2112.46442052,1765.82151604
1999-07-17,1961.5087575,2088.84321984,1919.16730089,1929.97328531,1982.87668462,2088.78806249,1788.35207972,2191.00031055,1559.73587297,2112.46442052,1780.53175993
1999-08-21,1961.5087575,2088.84321984,1919.16730089,1929.97328531,1993.55950744,2088.78806249,1788.35207972,2191.00031055,1559.73587297,2112.46442052,1780.53175993
1999-09-11,1961.5087575,2088.84321984,1942.16107954,1929.97328531,1993.55950744,2088.78806249,1788.35207972,2191.00031055,1559.73587297,2112.46442052,1780.53175993
1999-09-17,1961.5087575,2088.84321984,1942.16107954,1929.97328531,1993.55950744,2088.78806249,1736.49356413,2191.00031055,1559.73587297,2112.46442052,1780.53175993
1999-09-18,1961.5087575,2120.98925465,1942.16107954,1929.97328531,1993.55950744,2088.78806249,1736.49356413,2158.85427575,1559.73587297,2112.46442052,1780.53175993
1999-09-25,1961.5087575,2120.98925465,1942.16107954,1929.97328531,1993.55950744,2088.78806249,1736.49356413,2158.85427575,1559.73587297,2112.46442052,1818.62066838
1999-10-09,1961.5087575,2120.98925465,1942.16107954,1929.97328531,1993.55950744,2088.78806249,1736.49356413,2158.85427575,1584.82882298,2112.46442052,1818.62066838
1999-11-12,1961.5087575,2120.98925465,1942.16107954,1929.97328531,1993.55950744,2088.78806249,1736.49356413,2158.85427575,1584.82882298,2112.46442052,1838.04226266
1999-11-13,1961.5087575,2120.98925465,1942.16107954,1929.97328531,1993.55950744,2116.42083831,1736.49356413,2158.85427575,1584.82882298,2112.46442052,1838.04226266
1999-12-04,1961.5087575,2120.98925465,1942.16107954,1929.97328531,1993.55950744,2116.42083831,1736.49356413,2158.85427575,1584.82882298,2112.46442052,1853.75017516
1999-12-11,1961.5087575,2120.98925465,1942.16107954,1929.97328531,1993.55950744,2116.42083831,1736.49356413,2158.85427575,1613.95309994,2112.46442052,1853.75017516
1999-12-12,1975.22328921,2120.98925465,1942.16107954,1929.97328531,1993.55950744,2116.42083831,1736.49356413,2158.85427575,1613.95309994,2112.46442052,1853.75017516
1999-12-18,1975.22328921,2120.98925465,1942.16107954,1929.97328531,1993.55950744,2116.42083831,1773.08882524,2158.85427575,1613.95309994,2112.46442052,1853.75017516
2000-01-15,1975.22328921,2120.98925465,1942.16107954,1929.97328531,1993.55950744,2116.42083831,1773.08882524,2158.85427575,1613.95309994,2119.0551756,1853.75017516
2000-01-29,1975.22328921,2120.98925465,1942.16107954,1947.06419933,1993.55950744,2116.42083831,1773.08882524,2158.85427575,1633.14841261,2119.0551756,1853.75017516
2000-02-12,1975.22328921,2120.98925465,1942.16107954,1947.06419933,2008.39557659,2116.42083831,1773.08882524,2158.85427575,1633.14841261,2119.0551756,1853.75017516
2000-02-26,1975.22328921,2120.98925465,1942.16107954,1947.06419933,2008.39557659,2116.42083831,1773.08882524,2165.2867768,1633.14841261,2119.0551756,1853.75017516
