date,Bruno Arcari,Carlos Monzon,Emile Griffith,Jose Napoles,Ken Buchanan,Luis Manuel Rodriguez,Muhammad Ali,Nicolino Locche,Nino Benvenuti,Vicente Saldivar,Victor Galindez
1966-01-22,1571.69403332,1701.24132041,2137.36339709,2100.37321877,1401.73508148,2206.85012424,2099.63711259,1988.36323762,2157.8404972,2031.16923248,
1966-01-24,1571.69403332,1701.24132041,2137.36339709,2100.37321877,1438.54628703,2206.85012424,2099.63711259,1988.36323762,2157.8404972,2031.16923248,
1966-01-25,1571.69403332,1701.24132041,2137.36339709,2100.37321877,1438.54628703,2207.3720833,2099.63711259,1988.36323762,2157.8404972,2031.16923248,
1966-02-03,1571.69403332,1701.24132041,2140.11754621,2100.37321877,1438.54628703,2207.3720833,2099.63711259,1988.36323762,2157.8404972,2031.16923248,
1966-02-04,1571.69403332,1711.08546347,2140.11754621,2100.37321877,1438.54628703,2207.3720833,2099.63711259,1988.36323762,2167.5113982,2031.16923248,
1966-02-12,1571.69403332,1711.08546347,2140.11754621,2105.53076251,1438.54628703,2207.3720833,2099.63711259,1988.36323762,2167.5113982,2041.29536787,
1966-02-17,1571.69403332,1714.7136106,2140.11754621,2105.53076251,1438.54628703,2207.3720833,2099.63711259,1988.36323762,2167.5113982,2041.29536787,
1966-03-07,1571.69403332,1714.7136106,2140.11754621,2105.53076251,1456.6239416,2219.69819623,2099.63711259,1988.36323762,2167.5113982,2041.29536787,
1966-03-11,1617.39165416,1714.7136106,2140.11754621,2105.53076251,1456.6239416,2219.69819623,2099.63711259,1988.36323762,2169.55327246,2041.29536787,
1966-03-29,1617.39165416,1714.7136106,2140.11754621,2105.53076251,1456.6239416,2219.69819623,2106.86441369,1988.36323762,2169.55327246,2041.29536787,
1966-04-04,1617.39165416,1714.7136106,2140.11754621,2105.53076251,1478.20079228,2219.69819623,2106.86441369,1988.36323762,2169.55327246,2041.29536787,
1966-04-07,1617.39165416,1714.7136106,2140.11754621,2105.53076251,1478.20079228,2219.69819623,2106.86441369,2002.43429503,2169.55327246,2041.29536787,
1966-04-11,1617.39165416,1714.7136106,2140.11754621,2105.53076251,1478.20079228,2171.71089654,2106.86441369,2002.43429503,2169.55327246,2041.29536787,
1966-04-17,1617.39165416,1714.7136106,2140.11754621,2107.30070409,1478.20079228,2171.71089654,2106.86441369,2002.43429503,2169.55327246,2041.29536787,
1966-04-19,1617.39165416,1714.7136106,2140.11754621,2107.30070409,1536.54108961,2171.71089654,2106.86441369,2002.43429503,2169.55327246,2041.29536787,
1966-04-25,1617.39165416,1714.7136106,2163.3377648,2107.30070409,1536.54108961,2171.71089654,2106.86441369,2002.43429503,2169.55327246,2041.29536787,
1966-04-29,1642.75646428,1719.022662,2163.3377648,2107.30070409,1536.54108961,2171.71089654,2106.86441369,2002.43429503,2169.55327246,2041.29536787,
1966-05-07,1642.75646428,1719.022662,2163.3377648,2107.30070409,1536.54108961,2172.0788562,2106.86441369,2002.43429503,2169.55327246,2041.29536787,
1966-05-11,1642.75646428,1719.022662,2163.3377648,2107.30070409,1546.22342468,2172.0788562,2106.86441369,2002.43429503,2169.55327246,2041.29536787,
1966-05-14,1642.75646428,1719.022662,2163.3377648,2107.30070409,1546.22342468,2172.0788562,2106.86441369,2002.43429503,2177.087626,2041.29536787,
1966-05-21,1642.75646428,1719.022662,2163.3377648,2107.30070409,1546.22342468,2172.0788562,2119.53818297,2002.43429503,2177.087626,2041.29536787,
1966-06-03,1642.75646428,1683.82340038,2163.3377648,2107.30070409,1546.22342468,2172.0788562,2119.53818297,2002.43429503,2177.087626,2041.29536787,
1966-06-25,1642.75646428,1683.82340038,2163.3377648,2107.30070409,1546.22342468,2172.0788562,2119.53818297,2002.43429503,2131.40692605,2041.29536787,
1966-07-06,1642.75646428,1683.82340038,2163.3377648,2107.30070409,1546.22342468,2129.08046249,2119.53818297,2002.43429503,2131.40692605,2041.29536787,
1966-07-08,1642.75646428,1685.20348274,2163.3377648,2107.30070409,1546.22342468,2129.08046249,2119.53818297,2002.43429503,2131.40692605,2041.29536787,
1966-07-12,1642.75646428,1685.20348274,2163.3377648,2107.30070409,1556.90571924,2129.08046249,2119.53818297,2002.43429503,2131.40692605,2041.29536787,
1966-07-13,1642.75646428,1685.20348274,2177.82738448,2107.30070409,1556.90571924,2129.08046249,2119.53818297,2002.43429503,2131.40692605,2041.29536787,
1966-07-27,1642.75646428,1685.20348274,2177.82738448,2109.26264866,1556.90571924,2129.08046249,2119.53818297,2002.43429503,2131.40692605,2041.29536787,
1966-08-06,1642.75646428,1685.20348274,2177.82738448,2109.26264866,1591.96322707,2129.08046249,2128.20054414,2002.43429503,2131.40692605,2041.29536787,
1966-08-07,1642.75646428,1685.20348274,2177.82738448,2109.26264866,1591.96322707,2129.08046249,2128.20054414,2002.43429503,2131.40692605,2052.46999615,
