date,Alexander Povetkin,Bernard Hopkins,Floyd Mayweather Jr,Gennady Golovkin,Juan Manuel Marquez,Manny Pacquiao,Miguel Cotto,Saul Alvarez,Sergio Gabriel Martinez,Vitali Klitschko,Wladimir Klitschko
2007-11-03,1834.26051735,2115.07017703,2185.67440215,1544.88994172,2067.1427738,2119.89404459,2055.28704644,1572.66765362,1958.99327648,2042.96233247,2081.31355761
2007-11-10,1834.26051735,2115.07017703,2185.67440215,1544.88994172,2067.1427738,2119.89404459,2080.8353323,1572.66765362,1958.99327648,2042.96233247,2081.31355761
2007-12-06,1834.26051735,2115.07017703,2185.67440215,1544.88994172,2067.1427738,2119.89404459,2080.8353323,1572.66765362,1965.46665778,2042.96233247,2081.31355761
2007-12-08,1834.26051735,2115.07017703,2206.23917901,1544.88994172,2067.1427738,2119.89404459,2080.8353323,1572.66765362,1965.46665778,2042.96233247,2081.31355761
2007-12-15,1834.26051735,2115.07017703,2206.23917901,1544.88994172,2067.1427738,2119.89404459,2080.8353323,1577.37344675,1965.46665778,2042.96233247,2081.31355761
2008-01-26,1875.05077251,2115.07017703,2206.23917901,1544.88994172,2067.1427738,2119.89404459,2080.8353323,1577.37344675,1965.46665778,2042.96233247,2081.31355761
2008-02-16,1875.05077251,2115.07017703,2206.23917901,1544.88994172,2067.1427738,2119.89404459,2080.8353323,1577.37344675,1968.03846048,2042.96233247,2081.31355761
2008-02-22,1875.05077251,2115.07017703,2206.23917901,1544.88994172,2067.1427738,2119.89404459,2080.8353323,1582.87527609,1968.03846048,2042.96233247,2081.31355761
2008-02-23,1875.05077251,2115.07017703,2206.23917901,1544.88994172,2067.1427738,2119.89404459,2080.8353323,1582.87527609,1968.03846048,2042.96233247,2093.57633138
2008-02-29,1875.05077251,2115.07017703,2206.23917901,1575.28117653,2067.1427738,2119.89404459,2080.8353323,1582.87527609,1968.03846048,2042.96233247,2093.57633138
2008-03-14,1875.05077251,2115.07017703,2206.23917901,1575.28117653,2067.1427738,2119.89404459,2080.8353323,1586.93172611,1968.03846048,2042.96233247,2093.57633138
2008-03-15,1875.05077251,2115.07017703,2206.23917901,1575.28117653,2045.90963213,2141.12718626,2080.8353323,1586.93172611,1968.03846048,2042.96233247,2093.57633138
2008-04-05,1875.05077251,2115.07017703,2206.23917901,1623.56920688,2045.90963213,2141.12718626,2080.8353323,1586.93172611,1968.03846048,2042.96233247,2093.57633138
2008-04-12,1875.05077251,2115.07017703,2206.23917901,1623.56920688,2045.90963213,2141.12718626,2088.05090156,1586.93172611,1968.03846048,2042.96233247,2093.57633138
2008-04-18,1875.05077251,2115.07017703,2206.23917901,1623.56920688,2045.90963213,2141.12718626,2088.05090156,1625.34182177,1968.03846048,2042.96233247,2093.57633138
2008-04-19,1875.05077251,2090.47905669,2206.23917901,1623.56920688,2045.90963213,2141.12718626,2088.05090156,1625.34182177,1968.03846048,2042.96233247,2093.57633138
2008-05-10,1875.05077251,2090.47905669,2206.23917901,1635.96630355,2045.90963213,2141.12718626,2088.05090156,1625.34182177,1968.03846048,2042.96233247,2093.57633138
